Week Ending,Book No,Book Title,Book Author,eLibcat Link
27/01/2012,1,The Drop,Michael Connelly,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C690402
27/01/2012,2,The Confession,Charles Todd,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C698419
27/01/2012,3,Red Mist,Patricia Cornwell,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C694874
27/01/2012,4,Flash and bones,Kathy Reichs,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C686261
27/01/2012,5,Toys,James Patterson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C664138
27/01/2012,6,#1 suspect : a novel,James Patterson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C701456
27/01/2012,7,Private London,James Patterson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C680146
27/01/2012,8,10th anniversary,James Patterson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C668314
27/01/2012,9,The Litigators,John Grisham,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C692901
27/01/2012,10,Breakdown,Sara Paretsky,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C701172
3/02/2012,1,The Drop,Michael Connelly,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C690402
3/02/2012,2,The Litigators,John Grisham,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C692901
3/02/2012,3,The Confession,Charles Todd,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C698419
3/02/2012,4,Toys,James Patterson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C664138
3/02/2012,5,Port mortuary,Patricia Cornwell,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C645877
3/02/2012,6,#1 Suspect: a novel,James Patterson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C701456
3/02/2012,7,V is for vengeance,Sue Grafton,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C692997
3/02/2012,8,The girl with the dragon tattoo,Stieg Larsson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C552504
3/02/2012,9,Private London,James Patterson,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C680146
3/02/2012,10,Believing the lie,Elizabeth George,http://elibcat.library.brisbane.qld.gov.au/uhtbin/cgisirsi/S/ZZELIBCAT/0/5/1?searchdata1=^C699499
